1 
1 40 
  0.000000 5.200000 100.000000 1  ; 
  0.189990 5.199748 100.000000 1  ; 
  0.758731 5.200062 100.000000 1  ; 
  1.702539 5.203772 100.000000 1  ; 
  3.015288 5.214348 99.748225 1  ; 
  4.688419 5.235142 97.277654 1  ; 
  6.711151 5.280803 91.265167 1  ; 
  9.070361 5.349987 82.375385 1  ; 
  11.750716 5.445681 70.031502 1  ; 
  14.734835 5.553261 58.507506 1  ; 
  18.003441 5.664588 49.491674 1  ; 
  21.535276 5.742077 43.204993 1  ; 
  25.307215 5.765718 38.700187 1  ; 
  29.295227 5.673899 35.816316 1  ; 
  33.473116 5.476145 34.279199 1  ; 
  37.813957 5.194845 33.167624 1  ; 
  42.289536 4.926830 32.112244 1  ; 
  46.870780 4.692217 31.109832 1  ; 
  51.528022 4.476419 30.065396 1  ; 
  56.231160 4.257093 28.818569 1  ; 
  60.949602 4.047878 27.537283 1  ; 
  65.652542 3.852188 26.290580 1  ; 
  70.309874 3.669029 25.126642 1  ; 
  74.891179 3.493897 24.063049 1  ; 
  79.366741 3.321088 22.948615 1  ; 
  83.707543 3.153563 21.901382 1  ; 
  87.885446 2.993326 21.244300 1  ; 
  91.873373 2.839484 21.100322 1  ; 
  95.645450 2.689319 21.100000 1  ; 
  99.177203 2.541850 21.100000 1  ; 
  102.445737 2.399259 21.100000 1  ; 
  105.429852 2.264965 21.100000 1  ; 
  108.110194 2.141142 21.100000 1  ; 
  110.469382 2.029509 21.100000 1  ; 
  112.492085 1.932795 21.100000 1  ; 
  114.165261 1.851460 21.100000 1  ; 
  115.477999 1.771845 21.100000 1  ; 
  116.421795 1.576834 21.100000 1  ; 
  116.990533 0.866751 21.100000 1  ; 
  117.180523 0.500000 21.100000 1  ;
