1 
1 150 
  0.000000 5.200000 100.000000 1  ; 
  0.013023 5.199977 100.000000 1  ; 
  0.052086 5.199912 100.000000 1  ; 
  0.117171 5.199823 100.000000 1  ; 
  0.208250 5.199733 100.000000 1  ; 
  0.325282 5.199680 100.000000 1  ; 
  0.468216 5.199707 100.000000 1  ; 
  0.636988 5.199865 100.000000 1  ; 
  0.831523 5.200213 100.000000 1  ; 
  1.051735 5.200812 100.000000 1  ; 
  1.297525 5.201727 100.000000 1  ; 
  1.568785 5.203025 100.000000 1  ; 
  1.865394 5.204771 100.000000 1  ; 
  2.187220 5.207025 100.000000 1  ; 
  2.534118 5.209842 100.000000 1  ; 
  2.905935 5.213267 99.846989 1  ; 
  3.302503 5.217335 99.455520 1  ; 
  3.723644 5.222066 98.938331 1  ; 
  4.169169 5.227466 98.275461 1  ; 
  4.638885 5.234323 97.384814 1  ; 
  5.132589 5.243234 96.214289 1  ; 
  5.650062 5.254204 94.767346 1  ; 
  6.191074 5.267171 93.057092 1  ; 
  6.755384 5.282007 91.107432 1  ; 
  7.342739 5.298503 88.954215 1  ; 
  7.952874 5.316368 86.646366 1  ; 
  8.585516 5.335218 84.247003 1  ; 
  9.240382 5.355421 81.676728 1  ; 
  9.917189 5.378213 78.713393 1  ; 
  10.615635 5.403246 75.447382 1  ; 
  11.335407 5.430027 72.000840 1  ; 
  12.076184 5.457948 68.521178 1  ; 
  12.837635 5.486283 65.182322 1  ; 
  13.619420 5.514185 62.185870 1  ; 
  14.421207 5.542104 59.518198 1  ; 
  15.242652 5.571446 56.914405 1  ; 
  16.083374 5.601393 54.412200 1  ; 
  16.942983 5.630979 52.058292 1  ; 
  17.821083 5.659107 49.903936 1  ; 
  18.717275 5.684554 48.004998 1  ; 
  19.631184 5.706345 46.371827 1  ; 
  20.562497 5.725480 44.783507 1  ; 
  21.510763 5.741704 43.243421 1  ; 
  22.475505 5.754443 41.800682 1  ; 
  23.456242 5.763085 40.508884 1  ; 
  24.452507 5.766982 39.426083 1  ; 
  25.463884 5.764731 38.574407 1  ; 
  26.490077 5.752008 37.760107 1  ; 
  27.530614 5.729374 36.973813 1  ; 
  28.584986 5.698375 36.248545 1  ; 
  29.652686 5.660720 35.619691 1  ; 
  30.733207 5.618278 35.124944 1  ; 
  31.826072 5.570031 34.764295 1  ; 
  32.930850 5.509334 34.433519 1  ; 
  34.047050 5.439335 34.120968 1  ; 
  35.174168 5.364162 33.822890 1  ; 
  36.311695 5.288202 33.535242 1  ; 
  37.459120 5.216092 33.253705 1  ; 
  38.615939 5.146420 32.974466 1  ; 
  39.781642 5.075620 32.696848 1  ; 
  40.955707 5.004908 32.421034 1  ; 
  42.137602 4.935556 32.147199 1  ; 
  43.326796 4.868877 31.875513 1  ; 
  44.522762 4.806066 31.607479 1  ; 
  45.725010 4.746571 31.349620 1  ; 
  46.933001 4.689320 31.096882 1  ; 
  48.146178 4.633298 30.842028 1  ; 
  49.363979 4.577458 30.577634 1  ; 
  50.585837 4.520734 30.296124 1  ; 
  51.811249 4.463088 29.994120 1  ; 
  53.039715 4.405267 29.676429 1  ; 
  54.270677 4.347604 29.348334 1  ; 
  55.503562 4.290437 29.015201 1  ; 
  56.737794 4.234105 28.682453 1  ; 
  57.972833 4.178698 28.350821 1  ; 
  59.208186 4.123893 28.014202 1  ; 
  60.443273 4.069817 27.675799 1  ; 
  61.677514 4.016620 27.339193 1  ; 
  62.910331 3.964446 27.007949 1  ; 
  64.141184 3.913434 26.683984 1  ; 
  65.369637 3.863558 26.363855 1  ; 
  66.595128 3.814613 26.048259 1  ; 
  67.817071 3.766387 25.738368 1  ; 
  69.034878 3.718674 25.435326 1  ; 
  70.247991 3.671429 25.141379 1  ; 
  71.455947 3.624979 24.858639 1  ; 
  72.658209 3.579107 24.582140 1  ; 
  73.854225 3.533551 24.306564 1  ; 
  75.043442 3.488060 24.026766 1  ; 
  76.225331 3.442532 23.738146 1  ; 
  77.399392 3.397182 23.443154 1  ; 
  78.565093 3.352099 23.148676 1  ; 
  79.721908 3.307366 22.861360 1  ; 
  80.869314 3.263059 22.586861 1  ; 
  82.006825 3.219163 22.308451 1  ; 
  83.133941 3.175684 22.033638 1  ; 
  84.250147 3.132664 21.784665 1  ; 
  85.354933 3.090146 21.582449 1  ; 
  86.447811 3.048224 21.426856 1  ; 
  87.528320 3.006963 21.285582 1  ; 
  88.595972 2.966188 21.174367 1  ; 
  89.650282 2.925725 21.110253 1  ; 
  90.690774 2.885465 21.100630 1  ; 
  91.717001 2.845588 21.100360 1  ; 
  92.728506 2.806026 21.100147 1  ; 
  93.724835 2.766667 21.100021 1  ; 
  94.705541 2.727421 21.100000 1  ; 
  95.670195 2.688319 21.100000 1  ; 
  96.618367 2.649412 21.100000 1  ; 
  97.549631 2.610738 21.100000 1  ; 
  98.463573 2.572299 21.100000 1  ; 
  99.359795 2.534018 21.100000 1  ; 
  100.237894 2.496064 21.100000 1  ; 
  101.097477 2.458616 21.100000 1  ; 
  101.938161 2.421723 21.100000 1  ; 
  102.759581 2.385324 21.100000 1  ; 
  103.561365 2.349509 21.100000 1  ; 
  104.343153 2.314350 21.100000 1  ; 
  105.104606 2.279811 21.100000 1  ; 
  105.845383 2.245957 21.100000 1  ; 
  106.565150 2.212876 21.100000 1  ; 
  107.263591 2.180585 21.100000 1  ; 
  107.940397 2.149086 21.100000 1  ; 
  108.595264 2.118421 21.100000 1  ; 
  109.227902 2.088580 21.100000 1  ; 
  109.838034 2.059595 21.100000 1  ; 
  110.425376 2.031616 21.100000 1  ; 
  110.989681 2.004719 21.100000 1  ; 
  111.530707 1.978872 21.100000 1  ; 
  112.048171 1.954088 21.100000 1  ; 
  112.541858 1.930420 21.100000 1  ; 
  113.011604 1.907851 21.100000 1  ; 
  113.457150 1.886253 21.100000 1  ; 
  113.878289 1.865663 21.100000 1  ; 
  114.274862 1.845983 21.100000 1  ; 
  114.646678 1.826944 21.100000 1  ; 
  114.993571 1.806239 21.100000 1  ; 
  115.315393 1.783781 21.100000 1  ; 
  115.611999 1.761985 21.100000 1  ; 
  115.883255 1.726848 21.100000 1  ; 
  116.129042 1.668730 21.100000 1  ; 
  116.349251 1.601366 21.100000 1  ; 
  116.543784 1.521101 21.100000 1  ; 
  116.712555 1.341244 21.100000 1  ; 
  116.855488 1.116161 21.100000 1  ; 
  116.972520 0.901648 21.100000 1  ; 
  117.063599 0.725812 21.100000 1  ; 
  117.128684 0.599534 21.100000 1  ; 
  117.167747 0.524680 21.100000 1  ; 
  117.180770 0.500000 21.100000 1  ;
