# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00   -1.311415e-15   -4.143675e-17    1.046473e-14   -3.268384e+01    1.685289e+02   -3.484059e+00   -5.503999e+00    2.917033e+00    1.927339e+02
   2   -3.268384e+01    1.685289e+02   -3.484059e+00   -5.503999e+00    2.917033e+00    1.927339e+02   -3.579792e+01    1.692258e+02   -3.718621e+00   -5.686010e+00    3.022166e+00    1.922691e+02
   3   -3.579792e+01    1.692258e+02   -3.718621e+00   -5.686010e+00    3.022166e+00    1.922691e+02   -4.101252e+01    1.704822e+02   -4.112354e+00   -5.970591e+00    3.187834e+00    1.916999e+02
   4   -4.101252e+01    1.704822e+02   -4.112354e+00   -5.970591e+00    3.187834e+00    1.916999e+02   -4.847486e+01    1.725008e+02   -4.667683e+00   -6.329847e+00    3.399328e+00    1.913637e+02
   5   -4.847486e+01    1.725008e+02   -4.667683e+00   -6.329847e+00    3.399328e+00    1.913637e+02   -5.842136e+01    1.755270e+02   -5.375393e+00   -6.717673e+00    3.631592e+00    1.915949e+02
   6   -5.842136e+01    1.755270e+02   -5.375393e+00   -6.717673e+00    3.631592e+00    1.915949e+02   -6.134303e+01    1.910440e+02   -6.239082e+00   -7.103955e+00    3.891855e+00    1.890172e+02
   7   -6.134303e+01    1.910440e+02   -6.239082e+00   -7.103955e+00    3.891855e+00    1.890172e+02   -3.376029e+01    2.416006e+02   -6.810180e+00   -7.516966e+00    4.150565e+00    1.845111e+02
   8   -3.376029e+01    2.416006e+02   -6.810180e+00   -7.516966e+00    4.150565e+00    1.845111e+02    3.010610e+01    3.280503e+02   -6.250365e+00   -8.246732e+00    4.432737e+00    1.929301e+02
   9    3.010610e+01    3.280503e+02   -6.250365e+00   -8.246732e+00    4.432737e+00    1.929301e+02    1.472351e+02    4.677340e+02   -4.156770e+00   -1.032788e+01    5.334598e+00    2.344479e+02
  10    1.472351e+02    4.677340e+02   -4.156770e+00   -1.032788e+01    5.334598e+00    2.344479e+02    3.807580e+02    7.318842e+02    1.270007e+00   -2.115654e+01    1.018419e+01    4.739158e+02
  11    3.807580e+02    7.318842e+02    1.270007e+00   -2.115654e+01    1.018419e+01    4.739158e+02    6.099130e+02    1.050768e+03    7.014180e+00   -3.590530e+01    1.541455e+01    8.129234e+02
  12    6.099130e+02    1.050768e+03    7.014180e+00   -3.590530e+01    1.541455e+01    8.129234e+02    8.379731e+02    1.434858e+03    1.464332e+01   -5.496920e+01    1.877713e+01    1.305728e+03
  13    8.379731e+02    1.434858e+03    1.464332e+01   -5.496920e+01    1.877713e+01    1.305728e+03    9.932706e+02    1.816112e+03    2.384706e+01   -7.099694e+01    1.451420e+01    1.851791e+03
  14    9.932706e+02    1.816112e+03    2.384706e+01   -7.099694e+01    1.451420e+01    1.851791e+03    1.073232e+03    2.158434e+03    2.625781e+01   -6.707045e+01    6.613746e+00    2.197701e+03
