# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
  31    5.625363e+02    5.018293e+03    2.912248e+02    2.720928e+01   -1.435972e+02    2.421863e+03    5.646039e+02    5.251697e+03    3.237462e+02    2.855341e+01   -1.566473e+02    2.491281e+03
  32    5.646039e+02    5.251697e+03    3.237462e+02    2.855341e+01   -1.566473e+02    2.491281e+03    5.679357e+02    5.513217e+03    3.626826e+02    2.942877e+01   -1.721490e+02    2.570790e+03
  33    5.679357e+02    5.513217e+03    3.626826e+02    2.942877e+01   -1.721490e+02    2.570790e+03    5.705180e+02    5.779084e+03    4.035012e+02    2.983688e+01   -1.868036e+02    2.633279e+03
  34    5.705180e+02    5.779084e+03    4.035012e+02    2.983688e+01   -1.868036e+02    2.633279e+03    5.704546e+02    6.013341e+03    4.394352e+02    3.004998e+01   -1.964395e+02    2.649118e+03
  35    5.704546e+02    6.013341e+03    4.394352e+02    3.004998e+01   -1.964395e+02    2.649118e+03    5.669115e+02    6.173890e+03    4.651386e+02    3.027804e+01   -1.998282e+02    2.615463e+03
  36    5.669115e+02    6.173890e+03    4.651386e+02    3.027804e+01   -1.998282e+02    2.615463e+03    5.591976e+02    6.245209e+03    4.838390e+02    3.024592e+01   -1.987033e+02    2.529829e+03
  37    5.591976e+02    6.245209e+03    4.838390e+02    3.024592e+01   -1.987033e+02    2.529829e+03    5.471205e+02    6.233024e+03    4.991950e+02    2.971434e+01   -1.950261e+02    2.402558e+03
  38    5.471205e+02    6.233024e+03    4.991950e+02    2.971434e+01   -1.950261e+02    2.402558e+03    5.310736e+02    6.160740e+03    5.102583e+02    2.830929e+01   -1.890705e+02    2.253329e+03
  39    5.310736e+02    6.160740e+03    5.102583e+02    2.830929e+01   -1.890705e+02    2.253329e+03    5.114466e+02    6.045073e+03    5.188179e+02    2.549794e+01   -1.819609e+02    2.095005e+03
  40    5.114466e+02    6.045073e+03    5.188179e+02    2.549794e+01   -1.819609e+02    2.095005e+03    4.878637e+02    5.885654e+03    5.222401e+02    2.299217e+01   -1.731242e+02    1.929634e+03
  41    4.878637e+02    5.885654e+03    5.222401e+02    2.299217e+01   -1.731242e+02    1.929634e+03    4.600792e+02    5.687296e+03    5.160572e+02    2.270212e+01   -1.616469e+02    1.761217e+03
  42    4.600792e+02    5.687296e+03    5.160572e+02    2.270212e+01   -1.616469e+02    1.761217e+03    4.281516e+02    5.461798e+03    5.011678e+02    2.829162e+01   -1.486928e+02    1.596306e+03
  43    4.281516e+02    5.461798e+03    5.011678e+02    2.829162e+01   -1.486928e+02    1.596306e+03    3.910867e+02    5.205491e+03    4.795667e+02    4.372007e+01   -1.353119e+02    1.433099e+03
  44    3.910867e+02    5.205491e+03    4.795667e+02    4.372007e+01   -1.353119e+02    1.433099e+03    3.467721e+02    4.905784e+03    4.543732e+02    5.355475e+01   -1.210599e+02    1.266190e+03
  45    3.467721e+02    4.905784e+03    4.543732e+02    5.355475e+01   -1.210599e+02    1.266190e+03    2.911156e+02    4.532530e+03    4.237785e+02    5.133344e+01   -1.044615e+02    1.082006e+03
  46    2.911156e+02    4.532530e+03    4.237785e+02    5.133344e+01   -1.044615e+02    1.082006e+03    2.225319e+02    4.008176e+03    3.787658e+02    4.184136e+01   -8.249303e+01    8.483753e+02
  47    2.225319e+02    4.008176e+03    3.787658e+02    4.184136e+01   -8.249303e+01    8.483753e+02    1.452567e+02    3.193574e+03    3.048719e+02    2.654866e+01   -5.229671e+01    5.351659e+02
  48    1.452567e+02    3.193574e+03    3.048719e+02    2.654866e+01   -5.229671e+01    5.351659e+02    6.467400e+01    2.032705e+03    1.960369e+02    1.030538e+01   -2.038720e+01    2.079949e+02
  49    6.467400e+01    2.032705e+03    1.960369e+02    1.030538e+01   -2.038720e+01    2.079949e+02    0.000000e+00    0.000000e+00    0.000000e+00   -7.314269e-16   -2.211852e-17    3.287803e-15
