 # Version ID :           13.0.4
 # Radial output at time:    200.000000000000     
# Radius_s   # alfa       # Vrel       # Cl         # Cd         # Cm         # L          # D          # Pos_RP x   # Pos_RP y   # Pos_RP z   # Secfrc_RPx # Secfrc_RPy # Secfrc_RPz # Secmom_RPx # Secmom_RPy # Secmom_RPz # Intmom_RPx # Intmom_RPy # Intmom_RPz 
  2.50697E+01  9.12010E+00  1.88842E+01  1.65883E+00  2.82263E-02 -1.51332E-01  2.08848E+03  3.55373E+01 -2.36035E+00  7.35422E-01  2.89872E+01  5.87070E-01  2.00453E+00 -1.58003E-02 -9.14842E-02  6.50986E-02  4.85966E+00 -2.17654E+04  2.26361E+03  1.01079E+03
  2.82175E+01  8.31367E+00  2.06204E+01  1.58037E+00  2.09238E-02 -1.51957E-01  2.33789E+03  3.09532E+01 -2.38308E+00  7.57601E-01  3.21528E+01  6.00024E-01  2.25962E+00 -2.79110E-02 -3.33704E-02  7.43927E-02  5.30530E+00 -2.04502E+04  2.10546E+03  1.00527E+03
  3.14900E+01  7.74139E+00  2.24458E+01  1.50150E+00  1.87860E-02 -1.49402E-01  2.58507E+03  3.23432E+01 -2.36255E+00  7.88479E-01  3.54369E+01  6.04556E-01  2.51324E+00 -4.22195E-02  1.19370E-02  9.32499E-02  5.72191E+00 -1.91096E+04  1.94666E+03  9.80278E+02
  3.48739E+01  7.43541E+00  2.43553E+01  1.44240E+00  1.81019E-02 -1.45886E-01  2.81594E+03  3.53395E+01 -2.29400E+00  8.31859E-01  3.88301E+01  6.04810E-01  2.74977E+00 -6.10958E-02  5.72211E-02  1.20333E-01  5.98234E+00 -1.77529E+04  1.78828E+03  9.35063E+02
  3.83552E+01  7.20787E+00  2.63385E+01  1.39358E+00  1.75382E-02 -1.42630E-01  3.05755E+03  3.84791E+01 -2.20338E+00  8.93995E-01  4.23131E+01  6.04494E-01  2.99637E+00 -8.00912E-02  7.43493E-02  1.51415E-01  6.22589E+00 -1.63930E+04  1.63241E+03  8.81202E+02
  4.19197E+01  7.01148E+00  2.83862E+01  1.34752E+00  1.67986E-02 -1.39461E-01  3.29509E+03  4.10776E+01 -2.11182E+00  9.77277E-01  4.58744E+01  6.03445E-01  3.23816E+00 -9.74825E-02  6.86921E-02  1.80524E-01  6.42183E+00 -1.50396E+04  1.48055E+03  8.27388E+02
  4.55526E+01  6.82102E+00  3.04835E+01  1.30135E+00  1.59380E-02 -1.36104E-01  3.52527E+03  4.31750E+01 -2.02412E+00  1.07670E+00  4.95065E+01  6.01586E-01  3.47208E+00 -1.10283E-01  7.21386E-02  1.96627E-01  6.58400E+00 -1.37015E+04  1.33364E+03  7.75443E+02
  4.92392E+01  6.64003E+00  3.26196E+01  1.25845E+00  1.49110E-02 -1.32580E-01  3.76011E+03  4.45525E+01 -1.94036E+00  1.18099E+00  5.31913E+01  5.99813E-01  3.71066E+00 -1.07890E-01  7.30796E-02  1.84573E-01  6.75427E+00 -1.23907E+04  1.19284E+03  7.25010E+02
  5.29642E+01  6.49061E+00  3.47854E+01  1.22335E+00  1.40799E-02 -1.29128E-01  3.99854E+03  4.60203E+01 -1.85509E+00  1.27727E+00  5.69158E+01  5.98034E-01  3.95230E+00 -1.10153E-01  8.16413E-02  1.80171E-01  6.90780E+00 -1.11172E+04  1.05887E+03  6.73827E+02
  5.67123E+01  6.34527E+00  3.69723E+01  1.19175E+00  1.35352E-02 -1.25750E-01  4.22639E+03  4.80010E+01 -1.76262E+00  1.38356E+00  6.06643E+01  5.95465E-01  4.18241E+00 -1.32394E-01  9.80932E-02  2.08079E-01  7.01455E+00 -9.89091E+03  9.32271E+02  6.21029E+02
