# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
  31    5.332009e+02    4.556611e+03   -1.455272e+02    4.045496e+01    6.038375e+01    2.038903e+03    5.274660e+02    4.673833e+03   -1.631921e+02    4.132187e+01    6.640005e+01    2.035262e+03
  32    5.274660e+02    4.673833e+03   -1.631921e+02    4.132187e+01    6.640005e+01    2.035262e+03    5.236698e+02    4.813996e+03   -1.797798e+02    4.191234e+01    7.180953e+01    2.044940e+03
  33    5.236698e+02    4.813996e+03   -1.797798e+02    4.191234e+01    7.180953e+01    2.044940e+03    5.196129e+02    4.956362e+03   -1.976903e+02    4.201533e+01    7.707872e+01    2.042902e+03
  34    5.196129e+02    4.956362e+03   -1.976903e+02    4.201533e+01    7.707872e+01    2.042902e+03    5.121595e+02    5.062158e+03   -2.186601e+02    4.148182e+01    8.210365e+01    1.997927e+03
  35    5.121595e+02    5.062158e+03   -2.186601e+02    4.148182e+01    8.210365e+01    1.997927e+03    4.995481e+02    5.091400e+03   -2.416709e+02    4.045872e+01    8.662866e+01    1.908679e+03
  36    4.995481e+02    5.091400e+03   -2.416709e+02    4.045872e+01    8.662866e+01    1.908679e+03    4.814461e+02    5.035739e+03   -2.602724e+02    3.868233e+01    8.815676e+01    1.777207e+03
  37    4.814461e+02    5.035739e+03   -2.602724e+02    3.868233e+01    8.815676e+01    1.777207e+03    4.588245e+02    4.908396e+03   -2.696795e+02    3.611548e+01    8.549040e+01    1.617444e+03
  38    4.588245e+02    4.908396e+03   -2.696795e+02    3.611548e+01    8.549040e+01    1.617444e+03    4.335317e+02    4.737760e+03   -2.720894e+02    3.283187e+01    8.025720e+01    1.449792e+03
  39    4.335317e+02    4.737760e+03   -2.720894e+02    3.283187e+01    8.025720e+01    1.449792e+03    4.071624e+02    4.546420e+03   -2.681409e+02    2.877694e+01    7.338422e+01    1.287951e+03
  40    4.071624e+02    4.546420e+03   -2.681409e+02    2.877694e+01    7.338422e+01    1.287951e+03    3.795137e+02    4.332887e+03   -2.596708e+02    2.504629e+01    6.559144e+01    1.131069e+03
  41    3.795137e+02    4.332887e+03   -2.596708e+02    2.504629e+01    6.559144e+01    1.131069e+03    3.506024e+02    4.100029e+03   -2.497181e+02    2.290413e+01    5.774268e+01    9.802132e+02
  42    3.506024e+02    4.100029e+03   -2.497181e+02    2.290413e+01    5.774268e+01    9.802132e+02    3.212042e+02    3.861364e+03   -2.390647e+02    2.408622e+01    5.005676e+01    8.408766e+02
  43    3.212042e+02    3.861364e+03   -2.390647e+02    2.408622e+01    5.005676e+01    8.408766e+02    2.907939e+02    3.613533e+03   -2.258259e+02    2.921756e+01    4.201429e+01    7.099112e+02
  44    2.907939e+02    3.613533e+03   -2.258259e+02    2.921756e+01    4.201429e+01    7.099112e+02    2.585330e+02    3.351149e+03   -2.086660e+02    3.069493e+01    3.397605e+01    5.836812e+02
  45    2.585330e+02    3.351149e+03   -2.086660e+02    3.069493e+01    3.397605e+01    5.836812e+02    2.229395e+02    3.064226e+03   -1.881094e+02    2.638024e+01    2.617070e+01    4.575750e+02
  46    2.229395e+02    3.064226e+03   -1.881094e+02    2.638024e+01    2.617070e+01    4.575750e+02    1.798402e+02    2.691940e+03   -1.619509e+02    1.880429e+01    1.776603e+01    3.161875e+02
  47    1.798402e+02    2.691940e+03   -1.619509e+02    1.880429e+01    1.776603e+01    3.161875e+02    1.250178e+02    2.116514e+03   -1.244722e+02    9.282904e+00    8.595150e+00    1.554747e+02
  48    1.250178e+02    2.116514e+03   -1.244722e+02    9.282904e+00    8.595150e+00    1.554747e+02    5.958574e+01    1.288995e+03   -7.400453e+01    1.029825e+00    9.445437e-01    1.728104e+01
  49    5.958574e+01    1.288995e+03   -7.400453e+01    1.029825e+00    9.445437e-01    1.728104e+01    0.000000e+00    0.000000e+00    0.000000e+00    2.001482e-14   -2.275065e-17    1.264037e-13
